FlightID,Airline,Origin,Destination,ScheduledDeparture,DelayMinutes,DelayCause
AI1401,Air India,MAA,BLR,2023-01-17 17:00:00,16,Reactionary
AI1402,IndiGo,CCU,BOM,2023-01-17 18:00:00,16,Reactionary
AI1403,SpiceJet,HYD,BLR,2023-01-17 19:00:00,21,Technical
AI1404,Go First,COK,MAA,2023-01-17 20:00:00,15,Reactionary
AI1405,SpiceJet,BOM,AMD,2023-01-17 21:00:00,13,Crew
AI1406,IndiGo,AMD,COK,2023-01-17 22:00:00,15,Technical
AI1407,Akasa Air,CCU,PNQ,2023-01-17 23:00:00,18,Weather
AI1408,Akasa Air,MAA,PNQ,2023-01-18 00:00:00,17,Technical
AI1409,SpiceJet,GOI,PNQ,2023-01-18 01:00:00,17,Technical
AI1410,Vistara,DEL,AMD,2023-01-18 02:00:00,11,Security
AI1411,SpiceJet,MAA,DEL,2023-01-18 03:00:00,27,Technical
AI1412,Air India,CCU,HYD,2023-01-18 04:00:00,17,Security
AI1413,Air India,MAA,CCU,2023-01-18 05:00:00,12,Crew
AI1414,Akasa Air,CCU,GOI,2023-01-18 06:00:00,20,Weather
AI1415,Vistara,CCU,BOM,2023-01-18 07:00:00,12,Reactionary
AI1416,IndiGo,PNQ,DEL,2023-01-18 08:00:00,9,Technical
AI1417,Air India,HYD,COK,2023-01-18 09:00:00,14,ATC Congestion
AI1418,Akasa Air,AMD,BOM,2023-01-18 10:00:00,18,Crew
AI1420,Akasa Air,GOI,BLR,2023-01-18 12:00:00,16,Technical
AI1421,Air India,PNQ,COK,2023-01-18 13:00:00,12,Technical
AI1422,Air India,BLR,BOM,2023-01-18 14:00:00,18,ATC Congestion
AI1423,Akasa Air,BLR,PNQ,2023-01-18 15:00:00,13,Reactionary
AI1424,IndiGo,AMD,BOM,2023-01-18 16:00:00,17,Technical
AI1425,SpiceJet,MAA,BLR,2023-01-18 17:00:00,8,ATC Congestion
AI1426,Air India,HYD,PNQ,2023-01-18 18:00:00,13,Technical
AI1427,Akasa Air,AMD,HYD,2023-01-18 19:00:00,11,Reactionary
AI1428,Akasa Air,CCU,DEL,2023-01-18 20:00:00,8,Weather
AI1429,Vistara,BOM,MAA,2023-01-18 21:00:00,14,ATC Congestion
AI1430,SpiceJet,HYD,GOI,2023-01-18 22:00:00,21,Weather
AI1431,Go First,HYD,AMD,2023-01-18 23:00:00,19,Weather
AI1432,IndiGo,CCU,GOI,2023-01-19 00:00:00,21,Security
AI1433,Go First,CCU,COK,2023-01-19 01:00:00,20,Crew
AI1434,SpiceJet,DEL,GOI,2023-01-19 02:00:00,11,ATC Congestion
AI1435,SpiceJet,AMD,PNQ,2023-01-19 03:00:00,14,Crew
AI1436,SpiceJet,CCU,HYD,2023-01-19 04:00:00,14,ATC Congestion
AI1437,Go First,BLR,MAA,2023-01-19 05:00:00,14,Reactionary
AI1438,SpiceJet,GOI,DEL,2023-01-19 06:00:00,15,Reactionary
AI1439,Akasa Air,BOM,DEL,2023-01-19 07:00:00,14,ATC Congestion
AI1440,Go First,AMD,BLR,2023-01-19 08:00:00,26,Security
AI1441,SpiceJet,COK,AMD,2023-01-19 09:00:00,19,Crew
AI1442,Akasa Air,BLR,BOM,2023-01-19 10:00:00,16,ATC Congestion
AI1443,Vistara,MAA,HYD,2023-01-19 11:00:00,16,ATC Congestion
AI1444,SpiceJet,CCU,BOM,2023-01-19 12:00:00,17,Technical
AI1445,Go First,COK,MAA,2023-01-19 13:00:00,11,Crew
AI1446,Air India,CCU,GOI,2023-01-19 14:00:00,8,Reactionary
AI1447,SpiceJet,HYD,DEL,2023-01-19 15:00:00,12,Crew
AI1448,Air India,BLR,MAA,2023-01-19 16:00:00,8,Security
AI1449,Akasa Air,HYD,GOI,2023-01-19 17:00:00,18,Technical
AI1451,IndiGo,HYD,GOI,2023-01-19 19:00:00,16,Crew
AI1452,Vistara,DEL,AMD,2023-01-19 20:00:00,19,ATC Congestion
AI1453,SpiceJet,DEL,HYD,2023-01-19 21:00:00,14,Technical
AI1455,Air India,CCU,MAA,2023-01-19 23:00:00,17,Weather
AI1457,Air India,HYD,CCU,2023-01-20 01:00:00,18,Weather
AI1458,Go First,BLR,PNQ,2023-01-20 02:00:00,15,Technical
AI1459,Akasa Air,DEL,AMD,2023-01-20 03:00:00,13,Security
AI1460,IndiGo,CCU,AMD,2023-01-20 04:00:00,14,ATC Congestion
AI1462,Go First,AMD,GOI,2023-01-20 06:00:00,10,ATC Congestion
AI1463,IndiGo,COK,PNQ,2023-01-20 07:00:00,12,Security
AI1464,Air India,MAA,HYD,2023-01-20 08:00:00,12,Weather
AI1465,Air India,PNQ,HYD,2023-01-20 09:00:00,21,Reactionary
AI1466,IndiGo,COK,AMD,2023-01-20 10:00:00,21,Weather
AI1467,Air India,BOM,HYD,2023-01-20 11:00:00,15,Reactionary
AI1468,Akasa Air,AMD,CCU,2023-01-20 12:00:00,15,Reactionary
AI1469,Akasa Air,BOM,MAA,2023-01-20 13:00:00,15,Technical
AI1470,IndiGo,HYD,BLR,2023-01-20 14:00:00,15,Technical
AI1471,Go First,DEL,COK,2023-01-20 15:00:00,15,Technical
AI1472,Go First,MAA,BOM,2023-01-20 16:00:00,20,Technical
AI1474,Go First,DEL,COK,2023-01-20 18:00:00,11,Weather
AI1476,Akasa Air,AMD,DEL,2023-01-20 20:00:00,19,ATC Congestion
AI1477,Go First,CCU,COK,2023-01-20 21:00:00,19,ATC Congestion
AI1478,Vistara,PNQ,BLR,2023-01-20 22:00:00,20,Technical
AI1479,SpiceJet,BLR,AMD,2023-01-20 23:00:00,22,Reactionary
AI1480,Air India,DEL,CCU,2023-01-21 00:00:00,14,ATC Congestion
AI1482,Go First,BOM,MAA,2023-01-21 02:00:00,12,ATC Congestion
AI1483,Akasa Air,MAA,CCU,2023-01-21 03:00:00,12,Security
AI1484,IndiGo,AMD,PNQ,2023-01-21 04:00:00,20,Reactionary
AI1485,Go First,GOI,DEL,2023-01-21 05:00:00,12,Security
AI1486,Akasa Air,BOM,GOI,2023-01-21 06:00:00,19,Reactionary
AI1488,Go First,BLR,HYD,2023-01-21 08:00:00,14,Security
AI1489,IndiGo,DEL,COK,2023-01-21 09:00:00,18,Crew
AI1490,Akasa Air,AMD,DEL,2023-01-21 10:00:00,17,ATC Congestion
AI1491,Akasa Air,CCU,COK,2023-01-21 11:00:00,21,Reactionary
AI1492,Akasa Air,AMD,BLR,2023-01-21 12:00:00,15,Weather
AI1493,SpiceJet,GOI,BOM,2023-01-21 13:00:00,9,Crew
AI1494,Go First,MAA,BOM,2023-01-21 14:00:00,11,ATC Congestion
AI1495,SpiceJet,BLR,DEL,2023-01-21 15:00:00,18,ATC Congestion
AI1496,Air India,MAA,AMD,2023-01-21 16:00:00,19,Crew
AI1497,Air India,MAA,BLR,2023-01-21 17:00:00,15,Technical
AI1498,Go First,MAA,BLR,2023-01-21 18:00:00,8,ATC Congestion
AI1499,SpiceJet,BLR,CCU,2023-01-21 19:00:00,21,ATC Congestion
